date,rank_ic,top5_return,market_return,alpha_return,top5_positive,beats_market,fold
2025-07-29,-0.23074317854569346,-0.027974301880000007,-0.017277605173986667,-0.01069669670601334,0,0,0
2025-07-30,-0.21823636508447405,-0.043157957000000004,-0.009149536506733334,-0.03400842049326667,0,0,0
2025-07-31,-0.21913016273811084,-0.0008518171200000001,0.014394810631766666,-0.015246627751766667,0,0,0
2025-08-01,-0.06872628021967675,0.01506007416,0.01833398429546667,-0.003273910135466669,1,0,0
2025-08-04,-0.06204623144102529,0.0165110219,0.009861398815484949,0.00664962308451505,1,1,0
2025-08-05,-0.009714339519649461,0.041696166599999994,0.008611469792876254,0.03308469680712374,1,1,0
2025-08-06,0.047205231399629,0.0666983848,0.0070679389613377925,0.059630445838662206,1,1,0
2025-08-07,0.07722955688019129,0.1618087856,0.015709329206688966,0.14609945639331104,1,1,0
2025-08-08,0.017577840122799296,0.12601604039999997,0.005103166126187291,0.12091287427381268,1,1,0
2025-08-11,0.09063063333717634,0.1267330692,0.01871488614792642,0.10801818305207357,1,1,0
2025-08-12,0.1303047453074428,0.06799310620000001,0.01969168208053512,0.04830142411946489,1,1,0
2025-08-13,0.0636687060077263,0.0240766908,0.009959652785151516,0.014117038014848485,1,1,0
2025-08-14,0.1832996731056561,0.0706447462,0.03712637420263973,0.03351837199736027,1,1,0
2025-08-15,-0.0984142142800017,0.06118780039999999,0.019756029628922558,0.04143177077107743,1,1,0
2025-08-18,0.23462641689808286,0.0979899238,0.041582715419397995,0.05640720838060201,1,1,0
2025-08-19,0.2408867815374672,0.1681829668,0.054903378148000004,0.113279588652,1,1,0
2025-08-20,0.1860112961441579,0.10656553340000001,0.03937986974666667,0.06718566365333334,1,1,0
2025-08-21,0.25661040940526475,0.12851437680000002,0.0187709350816,0.10974344171840003,1,1,0
2025-08-22,0.12638760660942464,0.03546040029999999,0.008222069475000001,0.02723833082499999,1,1,0
2025-08-25,0.2682869372089856,0.045229289,0.00869741100367893,0.03653187799632107,1,1,0
2025-08-26,0.18233734237722857,0.23445414860000002,0.00709622688729097,0.22735792171270905,1,1,1
2025-08-27,0.0685974906605366,0.15773978859999999,0.018596894245819402,0.1391428943541806,1,1,1
2025-08-28,-0.08494635578965185,0.07215324919999999,-0.01028700001237458,0.08244024921237457,1,1,1
2025-08-29,-0.19110687724584505,-0.025937113199999993,-0.033713402662575255,0.0077762894625752615,0,1,1
2025-09-01,-0.16654160632396428,0.01402515,-0.012294283730771812,0.026319433730771814,1,1,1
2025-09-02,-0.16650634875936554,0.019203025600000003,-0.002340707332986577,0.02154373293298658,1,1,1
2025-09-03,-0.2912772093192047,0.0008293300000000003,0.00519412089456376,-0.004364790894563759,1,0,1
2025-09-04,0.10630864127113461,0.028865305600000002,0.01743092570677852,0.011434379893221481,1,1,1
2025-09-05,0.1103203024494525,-0.01281083596,0.015485546916677853,-0.02829638287667785,0,0,1
2025-09-08,0.2757906657151036,0.0970568584,0.010134075797257525,0.08692278260274247,1,1,1
2025-09-09,0.36636144401866383,0.0698008722,0.016448495103566666,0.05335237709643334,1,1,1
2025-09-10,0.31724583777229337,0.057744374,0.015898300730933332,0.04184607326906667,1,1,1
2025-09-11,0.15927096319714004,0.0087938576,0.0009704935246333331,0.007823364075366667,1,1,1
2025-09-12,0.12777766666949258,-0.0021207005000000007,-0.008218932189716666,0.006098231689716665,0,1,1
2025-09-15,0.13612506572981006,-0.032060165439999996,-0.006215515785133333,-0.025844649654866665,0,0,1
2025-09-16,0.23170713685910777,0.0417383753,-0.0025816861801999996,0.0443200614802,1,1,1
2025-09-17,0.13248956812787693,0.058105758699999996,-0.016784246302086667,0.07489000500208666,1,1,1
2025-09-18,0.25316870050723733,0.01011371334,0.010610820602566667,-0.0004971072625666664,1,0,1
2025-09-19,0.251419375000516,0.0813325496,0.007982586891,0.073349962709,1,1,1
2025-09-22,0.012834399533863143,0.0015230427600000003,0.006639995401800001,-0.005116952641800001,1,0,1
2025-09-23,0.32357515083500926,0.064297722,0.028833198638533335,0.03546452336146667,1,1,2
2025-09-24,0.25064636836480203,0.0216723414,0.023261430553133334,-0.0015890891531333343,1,0,2
2025-09-25,0.06581451636290625,-0.0013850853999999991,0.0312561180926,-0.0326412034926,0,0,2
2025-09-26,-0.2753762014440401,-0.049903102399999996,-0.002804779978666667,-0.04709832242133333,0,0,2
2025-09-29,-0.12602319203804474,-0.0016492385999999984,0.01381209133896667,-0.015461329938966668,0,0,2
2025-09-30,-0.48516744465688194,-0.13521846999999998,-0.009480603110866667,-0.1257378668891333,0,0,2
2025-10-09,-0.4984026453698356,-0.06745850728,-0.010581501146566667,-0.05687700613343333,0,0,2
2025-10-10,-0.09190324336937077,0.045459271999999995,0.024692095983433332,0.020767176016566663,1,1,2
2025-10-13,-0.5391186742602891,-0.06908262700000001,-0.0179911974897,-0.051091429510300004,0,0,2
2025-10-14,-0.1364370715230169,0.044340139,-0.0076811917104000005,0.0520213307104,1,1,2
2025-10-15,-0.1578839296925715,-0.01937310912,-0.012913233084676666,-0.006459876035323333,0,0,2
2025-10-16,-0.13869004708500224,0.041006749200000005,-0.0145506056376,0.055557354837600006,1,1,2
2025-10-17,0.10011026892541403,0.027358076399999997,0.007962420484366668,0.01939565591563333,1,1,2
2025-10-20,0.26032558809826806,0.09883064339999999,0.020617483891466667,0.07821315950853332,1,1,2
2025-10-21,0.3307044093929418,0.0885250538,0.0211037793735,0.0674212744265,1,1,2
2025-10-22,0.20862699433005946,0.08945134430400001,0.019512674957746667,0.06993866934625334,1,1,2
2025-10-23,0.25884198713319034,0.1066774184,0.0230938936255,0.0835835247745,1,1,2
2025-10-24,0.054750830564784046,0.048407566480000004,0.008019349137899999,0.040388217342100005,1,1,2
2025-10-27,-0.21613775279488978,-0.0104418387,-0.002044813673733334,-0.008397025026266667,0,0,2
2025-10-28,-0.18181313125701395,0.00031344060000000065,0.0036815923566,-0.0033681517565999994,1,0,2
2025-10-29,-0.3788940601849588,-0.10891251900000001,-0.027405626435333334,-0.08150689256466667,0,0,3
2025-10-30,-0.3008599328282109,-0.0366753888,-0.0084613390505,-0.0282140497495,0,0,3
2025-10-31,0.050542361822852724,0.0206522244,0.005548975688333333,0.015103248711666666,1,1,3
2025-11-03,0.10942037552434211,0.05633806282,0.007872002000433333,0.04846606081956667,1,1,3
2025-11-04,0.17957213216806597,0.155261246314,0.034855693656666666,0.12040555265733335,1,1,3
2025-11-05,-0.21474269621391742,-0.040783878600000004,0.0081196101668,-0.04890348876680001,0,0,3
2025-11-06,-0.3031278330264045,-0.06800386348000001,-0.0023345986536333335,-0.06566926482636667,0,0,3
2025-11-07,-0.24571000502895418,-0.0241499846,-0.004461406419033333,-0.019688578180966667,0,0,3
2025-11-10,-0.18972370575755415,-0.08268569740000001,-0.019792423120166665,-0.06289327427983335,0,0,3
2025-11-11,-0.006098961398763335,-0.0253744824,-0.015414329278833332,-0.009960153121166666,0,0,3
2025-11-12,-0.1718904116347205,-0.054779775200000005,-0.018196980677766667,-0.03658279452223334,0,0,3
2025-11-13,-0.08994062484965157,-0.012162576999999999,-0.014356396810433332,0.002193819810433333,0,1,3
2025-11-14,-0.16333501668631487,-0.06479477180000001,-0.0269872276265,-0.03780754417350001,0,0,3
2025-11-17,-0.1967959827061559,-0.039439798799999995,-0.029432204733066663,-0.010007594066933332,0,0,3
2025-11-18,-0.1557044193847471,-0.022652580720000003,-0.021735527393733335,-0.0009170533262666675,0,0,3
2025-11-19,-0.18156262319592284,-0.05733019340000001,-0.026011572243699998,-0.031318621156300006,0,0,3
2025-11-20,0.12343481697790316,0.0283565718,-0.004651747036208053,0.033008318836208056,1,1,3
2025-11-21,0.1963327195390887,0.06880485239999999,0.003940129899563759,0.06486472250043623,1,1,3
2025-11-24,0.331975702088103,0.0847910734,0.009565558997268457,0.07522551440273154,1,1,3
2025-11-25,0.17663201609088758,0.0548126288,0.013604810659865772,0.04120781814013423,1,1,3
2025-11-26,0.0552195889300463,0.0243084018,0.0076677928574999995,0.016640608942500003,1,1,4
2025-11-27,0.06904750034238483,0.014992629399999999,0.005411093739932886,0.009581535660067112,1,1,4
2025-11-28,-0.012176987474110466,-0.012728493599999996,-0.0026671725137919463,-0.01006132108620805,0,0,4
2025-12-01,-0.046521611120211304,0.0015128981999999978,0.00022286979644295257,0.0012900284035570453,1,1,4
2025-12-02,0.052901634624939874,0.037329702,0.005215201344395973,0.03211450065560403,1,1,4
2025-12-03,0.10376897783805253,0.020118027860000002,-0.00013451906830536916,0.02025254692830537,1,1,4
2025-12-04,0.16326088306203385,0.02828569112,0.006598846297114095,0.021686844822885906,1,1,4
2025-12-05,0.08036719483488466,-0.0075480872,-0.01200647520315436,0.00445838800315436,0,1,4
2025-12-08,-0.09524088728113164,-0.034755731059999996,-0.01219756201580537,-0.022558169044194627,0,0,4
2025-12-09,-0.15496528693410713,-0.01740587012,-0.004297518137718122,-0.013108351982281878,0,0,4
2025-12-10,-0.26707100041459425,-0.057606715800000007,-0.017494080377214765,-0.040112635422785245,0,0,4
2025-12-11,-0.10737543482526658,-0.00980686194,0.002277828194697987,-0.012084690134697988,0,0,4
2025-12-12,-0.10496733572912184,-0.0270131344,0.004860597699026846,-0.031873732099026844,0,0,4
2025-12-15,0.10713691959129937,0.0293053442,0.011803496282986577,0.017501847917013424,1,1,4
2025-12-16,0.3031150427936179,0.03256095752,0.024065227554496645,0.008495729965503358,1,1,4
2025-12-17,0.1101370141011747,0.0043717737,0.0108940614852349,-0.0065222877852348995,1,0,4
2025-12-18,0.22740332823115522,0.02693401592,0.012542551326600001,0.014391464593399997,1,1,4
2025-12-19,0.17419458296140172,0.003187666220000001,0.010614748343712375,-0.0074270821237123735,1,0,4
2025-12-22,0.04529591780917693,0.02480689834,0.009227937790187291,0.01557896054981271,1,1,4
2025-12-23,-0.07816840457969673,-0.013695888460000003,0.0031550384659765887,-0.016850926925976593,0,0,4
2025-12-24,0.1605263014149418,-0.012007167800000001,0.006085676580869566,-0.01809284438086957,0,0,5
2025-12-25,0.08493945642540748,-0.004899509800000001,0.0038195496773913047,-0.008719059477391305,0,0,5
2025-12-26,0.15523439476669962,-0.026543647740000002,0.012219193549230766,-0.03876284128923077,0,0,5
2025-12-29,0.2741370370914463,0.1051811968,0.03848487282909699,0.06669632397090301,1,1,5
2025-12-30,0.17087495480178855,0.048463312999999994,0.025938594092261742,0.022524718907738252,1,1,5
2025-12-31,0.050598573227747135,-0.0469673944,0.023694372811040268,-0.07066176721104027,0,0,5
2026-01-05,0.2367200008108341,0.032059641,0.02319280214204013,0.008866838857959868,1,1,5
2026-01-06,-0.014987440695688553,0.030327360759999998,0.017041898698026754,0.013285462061973244,1,1,5
2026-01-07,-0.009514212961261702,0.004500137800000001,0.01369192723180602,-0.00919178943180602,1,0,5
2026-01-08,0.08798282012490652,0.0810289458,0.006388514836220736,0.07464043096377926,1,1,5
2026-01-09,0.22476431913682515,0.009222052639999999,0.0013223046723411372,0.007899747967658861,1,1,5
2026-01-12,0.1039439878687383,0.01873024814,-0.018983042698762543,0.03771329083876254,1,1,5
2026-01-13,0.18995475598201175,0.016974281400000003,-0.004624558679464884,0.021598840079464887,1,1,5
2026-01-14,-0.032183087079443305,-0.002610875,0.0009070579745819405,-0.0035179329745819404,0,0,5
2026-01-15,0.050439654132658295,0.005398759800000002,-0.0002406588432000001,0.005639418643200002,1,1,5
2026-01-16,0.11447916893702759,0.0500032587,0.011544896526733335,0.03845836217326666,1,1,5
2026-01-19,0.2672078077875867,0.051724244600000004,0.0065156598526,0.045208584747400006,1,1,5
2026-01-20,0.2748492177512372,0.018200636800000003,0.005324089909933332,0.01287654689006667,1,1,5
2026-01-21,0.15310842030744856,0.0034105458000000003,0.00010589697683333344,0.003304648823166667,1,1,5
2026-01-22,0.17400596399767282,0.039002927,-0.001039623938166666,0.040042550938166666,1,1,5
2026-01-23,-0.07367775189723048,0.044899114000000004,-0.004986569758,0.049885683758,1,1,6
2026-01-26,-0.024701972744723785,-0.0346844824,-0.016324985083733333,-0.018359497316266668,0,0,6
2026-01-27,-0.2422942203165774,-0.0801148468,-0.02331853315356667,-0.05679631364643333,0,0,6
2026-01-28,-0.21645765573263723,-0.061720196399999996,-0.016634856605899997,-0.045085339794099996,0,0,6
